[1204326000] LOG ROTATION: MONTHLY
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Disk usage /;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Kernel log process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: rc.op5.se;PING;CRITICAL;HARD;1;CRITICAL - 193.201.96.8: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Syslog process;CRITICAL;HARD;1;CHECK_NRPE: Socket timeout after 10 seconds.
[1204326000] CURRENT SERVICE STATE: rc.op5.se;System Load;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Total processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: rc.op5.se;Zombie processes;CRITICAL;HARD;1;CHECK_NRPE: Socket timeout after 10 seconds.
[1204326000] CURRENT SERVICE STATE: repos;HTTP Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: repos;PING;CRITICAL;HARD;1;CRITICAL - repos.op5.com: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: repos;SSH Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Disk usage /;OK;HARD;1;DISK OK - free space: / 13780 MB (74% inode=98%):
[1204326000] CURRENT SERVICE STATE: rt.op5.com;HTTP Server;OK;HARD;1;HTTP OK - HTTP/1.1 301 Moved Permanently - 0.022 second response time
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Kernel log process;OK;HARD;1;PROCS OK: 1 process with command name 'klogd'
[1204326000] CURRENT SERVICE STATE: rt.op5.com;PING;OK;HARD;1;OK - 193.201.96.17: rta 7.272ms, lost 0%
[1204326000] CURRENT SERVICE STATE: rt.op5.com;SMTP;OK;HARD;1;SMTP OK - 0.052 sec. response time
[1204326000] CURRENT SERVICE STATE: rt.op5.com;Syslog process;OK;HARD;1;PROCS OK: 1 process with command name 'syslogd'
[1204326000] CURRENT SERVICE STATE: rt.op5.com;System Load;OK;HARD;1;OK - load average: 0.01, 0.05, 0.01
